"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"XOM","Exxon Mobil Corp","22.95%","73.54","+0.04","+0.05%","10.62 M","73.39 - 89.30",
"CVX","Chevron Corp","17.19%","114.02","+0.32","+0.28%","3.33 M","102.55 - 133.88",
"SLB","Schlumberger Ltd","7.18%","64.95","-0.57","-0.87%","5.09 M","61.02 - 80.89",
"COP","ConocoPhillips","4.67%","57.92","+1.42","+2.51%","4.90 M","42.27 - 61.32",
"EOG","EOG Resources","4.62%","106.18","+1.89","+1.81%","3.87 M","81.99 - 119.00",
"OXY","Occidental Petroleum","4.01%","66.28","+1.10","+1.69%","3.15 M","57.20 - 78.09",
"HAL","Halliburton Co","3.26%","46.91","+0.53","+1.14%","7.08 M","38.18 - 57.86",
"VLO","Valero Energy Corp","3.24%","92.21","-0.83","-0.89%","1.66 M","60.69 - 99.95",
"PSX","Phillips 66","3.20%","94.46","-0.24","-0.25%","936.23 K","75.14 - 107.47",
"MPC","Marathon Petroleum Corp.","2.78%","72.36","-0.61","-0.84%","3.43 M","47.78 - 73.89",
"APC","Anadarko Petroleum Corp","2.67%","62.56","+1.90","+3.13%","4.71 M","39.96 - 64.15",
"PXD","Pioneer Natural Resources","2.36%","174.43","+2.09","+1.21%","954.51 K","125.46 - 192.93",
"KMI","Kinder Morgan Inc","2.34%","15.08","-0.29","-1.86%","12.57 M","15.07 - 21.92",
"OKE","ONEOK Inc","1.89%","57.24","-0.09","-0.16%","1.66 M","47.14 - 61.36",
"CXO","Concho Resources Inc","1.84%","154.69","+1.67","+1.09%","617.34 K","106.73 - 162.91",
"WMB","The Williams Companies Inc","1.76%","25.87","-0.62","-2.32%","4.48 M","24.76 - 33.67",
"DVN","Devon Energy Corp","1.37%","32.47","+0.18","+0.56%","5.32 M","28.79 - 45.16",
"NBL","Noble Energy Inc","1.21%","30.72","+0.17","+0.54%","3.24 M","22.99 - 35.74",
"ANDV","Andeavor","1.15%","102.50","+1.57","+1.56%","1.45 M","75.11 - 121.71",
"APA","Apache Corp","1.14%","37.34","+0.06","+0.16%","4.24 M","33.60 - 54.64",
"NOV","National Oilwell Varco Inc","1.14%","37.55","+0.37","+1.00%","1.57 M","29.90 - 40.90",
"HES","Hess Corp","1.08%","49.99","-0.11","-0.22%","2.84 M","37.25 - 55.48",
"MRO","Marathon Oil Corp","1.08%","15.88","+0.04","+0.22%","7.74 M","10.55 - 19.52",
"FTI","TechnipFMC Ltd","1.04%","29.72","+0.34","+1.16%","2.17 M","24.53 - 35.00",
"BHGE","Baker Hughes, a GE company","1.01%","29.52","-0.26","-0.87%","3.06 M","25.53 - 62.20",
"EQT","EQT Corporation","0.96%","48.93","+0.16","+0.33%","948.11 K","43.70 - 67.84",
"COG","Cabot Oil & Gas A","0.89%","23.73","-0.24","-0.98%","3.33 M","21.40 - 29.57",
"XEC","Cimarex Energy Co","0.72%","93.71","-0.54","-0.57%","641.02 K","89.49 - 130.16",
"HP","Helmerich & Payne Inc","0.58%","67.22","+0.87","+1.31%","766.14 K","42.16 - 75.02",
"NFX","Newfield Exploration Co","0.39%","24.70","+0.44","+1.81%","3.07 M","22.72 - 37.61",
"RRC","Range Resources Corp","0.28%","14.90","-0.24","-1.55%","3.24 M","11.93 - 30.30",
