"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"DISH","DISH Network Corp A","0.30%","37.20","-0.57","-1.51%","1.01 M","37.75 - 66.50",
"CMG","Chipotle Mexican Grill Inc.","0.29%","322.27","-14.44","-4.29%","650.94 K","247.52 - 499.00",
"AAP","Advance Auto Parts Inc","0.29%","111.65","-0.07","-0.06%","693.86 K","78.81 - 152.38",
"PHM","Pulte Group Inc","0.27%","28.92","-0.08","-0.28%","1.79 M","21.41 - 35.21",
"TSCO","Tractor Supply Co","0.26%","59.54","-0.48","-0.80%","1.18 M","49.87 - 82.68",
"HOG","Harley-Davidson Inc","0.25%","41.95","-0.18","-0.43%","699.91 K","42.13 - 62.95",
"GPS","Gap Inc","0.24%","31.32","+0.14","+0.45%","2.38 M","21.02 - 35.68",
"GT","Goodyear Tire & Rubber Co","0.23%","26.80","-0.56","-2.05%","1.44 M","27.34 - 36.78",
"HBI","Hanesbrands Inc","0.23%","18.56","-0.03","-0.16%","2.23 M","18.54 - 25.73",
"GRMN","Garmin Ltd","0.22%","58.11","-0.23","-0.39%","325.70 K","48.50 - 65.96",
"NWSA","News Corp A","0.22%","15.78","-0.49","-3.01%","1.31 M","12.19 - 17.29",
"RL","Ralph Lauren Corp A","0.21%","108.01","+0.35","+0.33%","453.62 K","66.06 - 119.33",
"DISCK","Discovery Communications Inc C","0.21%","19.68","-0.21","-1.03%","3.21 M","14.99 - 29.18",
"LEG","Leggett & Platt","0.20%","43.41","-0.82","-1.85%","503.15 K","41.25 - 54.97",
"JWN","Nordstrom Inc","0.19%","46.42","-0.45","-0.96%","1.10 M","37.79 - 54.00",
"HRB","Block H & R Inc","0.18%","25.58","+0.39","+1.53%","1.91 M","22.16 - 31.80",
"FL","Foot Locker Inc","0.18%","44.03","+2.15","+5.13%","3.94 M","28.42 - 77.86",
"MAT","Mattel Inc","0.15%","13.26","+0.36","+2.79%","2.94 M","12.71 - 25.97",
"TRIP","TripAdvisor Inc. A","0.15%","39.98","-0.13","-0.32%","782.06 K","29.50 - 50.95",
"DISCA","Discovery Communications Inc A","0.12%","21.31","-0.21","-0.98%","3.32 M","15.99 - 30.25",
"UAA","Under Armour Inc A","0.10%","15.87","+0.14","+0.87%","3.40 M","11.40 - 23.46",
"UA","Under Armour Inc-C","0.09%","13.87","+0.16","+1.17%","1.30 M","10.36 - 21.81",
"NWS","News Corp B","0.07%","16.18","-0.53","-3.14%","866.43 K","12.60 - 17.70",
