Date,ABBV,ADBE,ADS,ADSK,AES,AMZN,BA,BBY,BXP,CCI,CCL,CHD,CHTR,CL,COTY,CRM,CTSH,DVN,EA,EL,EQT,ES,ETN,ETR,EVHC,EW,FCX,FE,FFIV,FLR,FLS,GILD,GWW,HCA,HPE,HRS,HUM,IDXX,ILMN,IP,IPG,IPGP,ISRG,LB,LOW,M,MAR,MAT,MGM,MLM,MON,MRK,MSI,MTB,MU,NDAQ,NFLX,NFX,NI,NKTR,NOV,NVDA,PM,PNR,PVH,QRVO,RE,RHT,RL,RRC,SBAC,SPG,SRCL,STX,TRIP,TWX,UA,UAL,UPS,V,VFC,VMC,WDC,WU,WYNN,XRX,XYL
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,,,0.04829016742225117,,,,0.04765232837774556,0.043118991549094175,,,,,,,,,,,0.02353761185179655,0.04753694522640784,0.047884090892582755,0.048853437592148705,0.04855200509784112,,,,,,,,,,,,,,0.048669248199739175,,,,,,,-0.029092175606517893,,,,0.04924725665868634,,,,,,,0.012351046900964073,,0.04771568427613855,,0.04046346509770673,,,,,,,,0.015971979163336883,,,0.012463249028141221,,,,,-0.01364343821041598,,,,,0.04766471566940445,,,,,
2018-01-04,,,,,0.04829016742225117,,,,0.04765232837774556,0.043118991549094175,,,,,,,,,,,0.02353761185179655,0.04753694522640784,0.047884090892582755,0.048853437592148705,0.04855200509784112,,,,,,,,,,,,,,0.048669248199739175,,,,,,,-0.029092175606517893,,,,0.04924725665868634,,,,,,,0.012351046900964073,,0.04771568427613855,,0.04046346509770673,,,,,,,,0.015971979163336883,,,0.012463249028141221,,,,,-0.01364343821041598,,,,,0.04766471566940445,,,,,
2018-01-05,,,,,0.04829016742225117,,,,0.04765232837774556,0.043118991549094175,,,,,,,,,,,0.02353761185179655,0.04753694522640784,0.047884090892582755,0.048853437592148705,0.04855200509784112,,,,,,,,,,,,,,0.048669248199739175,,,,,,,-0.029092175606517893,,,,0.04924725665868634,,,,,,,0.012351046900964073,,0.04771568427613855,,0.04046346509770673,,,,,,,,0.015971979163336883,,,0.012463249028141221,,,,,-0.01364343821041598,,,,,0.04766471566940445,,,,,
2018-01-08,,,,,0.04829016742225117,,,,0.04765232837774556,0.043118991549094175,,,,,,,,,,,0.02353761185179655,0.04753694522640784,0.047884090892582755,0.048853437592148705,0.04855200509784112,,,,,,,,,,,,,,0.048669248199739175,,,,,,,-0.029092175606517893,,,,0.04924725665868634,,,,,,,0.012351046900964073,,0.04771568427613855,,0.04046346509770673,,,,,,,,0.015971979163336883,,,0.012463249028141221,,,,,-0.01364343821041598,,,,,0.04766471566940445,,,,,
2018-01-09,,,,,0.04829016742225117,,,,0.04765232837774556,0.043118991549094175,,,,,,,,,,,0.02353761185179655,0.04753694522640784,0.047884090892582755,0.048853437592148705,0.04855200509784112,,,,,,,,,,,,,,0.048669248199739175,,,,,,,-0.029092175606517893,,,,0.04924725665868634,,,,,,,0.012351046900964073,,0.04771568427613855,,0.04046346509770673,,,,,,,,0.015971979163336883,,,0.012463249028141221,,,,,-0.01364343821041598,,,,,0.04766471566940445,,,,,
