Date,AAP,ADS,AIZ,ALB,ALGN,ALK,AMD,AMZN,ANDV,APA,ATVI,BBY,BHF,CAH,CBS,CELG,CF,CLX,COG,COTY,CPB,DISCA,DUK,DVN,EA,EQT,EVHC,EW,F,FCX,FE,FLR,GE,GIS,GPS,GT,GWW,HII,HPE,HRL,HSY,IDXX,ILMN,INCY,IPG,IPGP,ISRG,KHC,KIM,LB,LOW,M,MAT,MLM,MSI,MU,NFLX,NFX,NKTR,NOV,NVDA,PFG,PWR,QRVO,RE,REGN,RHT,RMD,RRC,SCG,SLB,SO,STT,STX,TGT,TPR,TRIP,TSCO,TTWO,UA,UAL,UPS,VIAB,VMC,WDC,WU,WYNN,XEC,XRAY
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,,,,,,,,,,,-0.049999999934454545,,,,,,,,,-0.049999999998903095,,,,0.04999999999947772,0.04999999999244469,,,0.049999999998750204,,,,,-0.04999999999243306,,,-0.04999999989209048,,,,,0.04999999999908539,0.04412579559962821,,0.049999999995592126,,,,-0.04999999999974224,,-0.049999999999483936,,0.019203703226378727,,,0.04999999999971079,,,0.039659078853769236,,,,,,,,,,0.037703605293408306,,,,,,,,,0.049999999995641975,-0.04999999999424805,,0.049999999996344156,-0.04999999999485138,0.049999999994290445,,,,,
2018-01-04,,,,,,,,,,,,,-0.049999999934454545,,,,,,,,,-0.049999999998903095,,,,0.04999999999947772,0.04999999999244469,,,0.049999999998750204,,,,,-0.04999999999243306,,,-0.04999999989209048,,,,,0.04999999999908539,0.04412579559962821,,0.049999999995592126,,,,-0.04999999999974224,,-0.049999999999483936,,0.019203703226378727,,,0.04999999999971079,,,0.039659078853769236,,,,,,,,,,0.037703605293408306,,,,,,,,,0.049999999995641975,-0.04999999999424805,,0.049999999996344156,-0.04999999999485138,0.049999999994290445,,,,,
2018-01-05,,,,,,,,,,,,,-0.049999999934454545,,,,,,,,,-0.049999999998903095,,,,0.04999999999947772,0.04999999999244469,,,0.049999999998750204,,,,,-0.04999999999243306,,,-0.04999999989209048,,,,,0.04999999999908539,0.04412579559962821,,0.049999999995592126,,,,-0.04999999999974224,,-0.049999999999483936,,0.019203703226378727,,,0.04999999999971079,,,0.039659078853769236,,,,,,,,,,0.037703605293408306,,,,,,,,,0.049999999995641975,-0.04999999999424805,,0.049999999996344156,-0.04999999999485138,0.049999999994290445,,,,,
2018-01-08,,,,,,,,,,,,,-0.049999999934454545,,,,,,,,,-0.049999999998903095,,,,0.04999999999947772,0.04999999999244469,,,0.049999999998750204,,,,,-0.04999999999243306,,,-0.04999999989209048,,,,,0.04999999999908539,0.04412579559962821,,0.049999999995592126,,,,-0.04999999999974224,,-0.049999999999483936,,0.019203703226378727,,,0.04999999999971079,,,0.039659078853769236,,,,,,,,,,0.037703605293408306,,,,,,,,,0.049999999995641975,-0.04999999999424805,,0.049999999996344156,-0.04999999999485138,0.049999999994290445,,,,,
2018-01-09,,,,,,,,,,,,,-0.049999999934454545,,,,,,,,,-0.049999999998903095,,,,0.04999999999947772,0.04999999999244469,,,0.049999999998750204,,,,,-0.04999999999243306,,,-0.04999999989209048,,,,,0.04999999999908539,0.04412579559962821,,0.049999999995592126,,,,-0.04999999999974224,,-0.049999999999483936,,0.019203703226378727,,,0.04999999999971079,,,0.039659078853769236,,,,,,,,,,0.037703605293408306,,,,,,,,,0.049999999995641975,-0.04999999999424805,,0.049999999996344156,-0.04999999999485138,0.049999999994290445,,,,,
