Date,ADS,AIZ,ALB,ALGN,ALK,AMD,AMZN,ANDV,APA,BA,BHGE,CAH,CELG,CF,COG,COTY,CTSH,DVN,EA,EL,ETN,EVHC,EW,FCX,FLR,FMC,GE,GILD,GPS,GT,GWW,HCA,HCP,HPE,HSY,HUM,IDXX,ILMN,IPG,IPGP,ISRG,KIM,LB,M,MAT,MLM,MON,MSI,MU,NFLX,NFX,NKTR,NVDA,PFG,PVH,QRVO,RE,REGN,RHT,RRC,SLB,SRE,STT,STX,TGT,TRIP,TTWO,TXN,UA,UAL,UPS,VFC,VIAB,WU,WYNN,XEC
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,0.028128835155206828,,,,,,,,,,,,,,,,0.011990565195503152,,,,,,-0.019303096975826398,,0.03537366549091437,,,,0.011006864370138,,,,,,,,,,,,,,,,,,,-0.03222521169644053,,,,,,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,0.028128835155206828,,,,,,,,,,,,,,,,0.011990565195503152,,,,,,-0.019303096975826398,,0.03537366549091437,,,,0.011006864370138,,,,,,,,,,,,,,,,,,,-0.03222521169644053,,,,,,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,0.028128835155206828,,,,,,,,,,,,,,,,0.011990565195503152,,,,,,-0.019303096975826398,,0.03537366549091437,,,,0.011006864370138,,,,,,,,,,,,,,,,,,,-0.03222521169644053,,,,,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,0.028128835155206828,,,,,,,,,,,,,,,,0.011990565195503152,,,,,,-0.019303096975826398,,0.03537366549091437,,,,0.011006864370138,,,,,,,,,,,,,,,,,,,-0.03222521169644053,,,,,,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,0.028128835155206828,,,,,,,,,,,,,,,,0.011990565195503152,,,,,,-0.019303096975826398,,0.03537366549091437,,,,0.011006864370138,,,,,,,,,,,,,,,,,,,-0.03222521169644053,,,,,,,
