Date,ADBE,ADS,AET,AIZ,ALB,ALGN,ALK,AMD,AMZN,ANDV,APA,ARNC,AYI,BA,BHF,BHGE,BIIB,CAH,CELG,CF,CMG,COG,COL,COTY,CTL,CTSH,CVS,DVN,DWDP,EA,EIX,EL,ETN,EVHC,EW,FCX,FE,FLR,FMC,GE,GILD,GIS,GOOGL,GPS,GT,GWW,HCA,HCP,HII,HPE,HRL,HRS,HSY,HUM,IDXX,ILMN,IPG,IPGP,ISRG,KIM,LB,LOW,M,MAT,MCHP,MLM,MON,MSI,MU,NEE,NEM,NFLX,NFX,NKTR,NRG,NVDA,OMC,PCG,PFG,PGR,PVH,QCOM,QRVO,RE,REGN,RHT,RL,RRC,RTN,SLB,SO,SRE,STT,STX,SYF,TGT,TPR,TRIP,TSCO,TTWO,TWX,TXN,UA,UAL,ULTA,UPS,VFC,VIAB,WFC,WU,WYNN,XEC,XYL
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028128835715142225,,,,,,,,,,,,,,,,,,,,,,0.011990565064737977,,,,,,,-0.019303095945376037,,,0.035373665279790176,,,,,,0.011006864046089207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032225211184682606,,,,,,,,,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028128835715142225,,,,,,,,,,,,,,,,,,,,,,0.011990565064737977,,,,,,,-0.019303095945376037,,,0.035373665279790176,,,,,,0.011006864046089207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032225211184682606,,,,,,,,,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028128835715142225,,,,,,,,,,,,,,,,,,,,,,0.011990565064737977,,,,,,,-0.019303095945376037,,,0.035373665279790176,,,,,,0.011006864046089207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032225211184682606,,,,,,,,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028128835715142225,,,,,,,,,,,,,,,,,,,,,,0.011990565064737977,,,,,,,-0.019303095945376037,,,0.035373665279790176,,,,,,0.011006864046089207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032225211184682606,,,,,,,,,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028128835715142225,,,,,,,,,,,,,,,,,,,,,,0.011990565064737977,,,,,,,-0.019303095945376037,,,0.035373665279790176,,,,,,0.011006864046089207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032225211184682606,,,,,,,,,,
