Date,ADBE,ADS,AES,ALB,ALGN,ALK,AMD,AMZN,APA,BA,BBY,BLL,BXP,CAH,CCI,CELG,CHD,COG,COTY,CTSH,DVN,EA,EL,ES,ETN,ETR,EVHC,EW,FCX,FE,FLR,GILD,GIS,GPS,GWW,HCA,HES,HPE,HRS,HUM,IDXX,ILMN,IPG,IPGP,ISRG,LB,LOW,M,MAR,MAT,MGM,MLM,MON,MRK,MSI,MU,NFLX,NFX,NI,NKTR,NOV,NVDA,PFG,PM,PNR,PVH,QRVO,RE,REGN,RHT,RL,RRC,SRE,STT,STX,TGT,TPR,TRIP,TTWO,TWX,TXN,UA,UAL,UPS,VFC,VIAB,VMC,WDC,WU,WYNN,XRX,XYL
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,0.013750168879968905,,,,,,,,,,0.024276479845539194,,0.018119534755051073,,,,,,,,,0.017045599074238152,0.03301610771965656,0.029458436303649783,0.04800567996274532,,,,,,,,,,,,,,,0.0356069691135817,,,,,,-0.018899270314854524,,,,0.03664498352219421,,,,,,,0.022886488299094773,,0.02390436055067562,,,,,,,,,,,,,,,,,,,,,-0.02486647102553511,,,,,0.015441802054697123,,,,,
2018-01-04,,,0.013750168879968905,,,,,,,,,,0.024276479845539194,,0.018119534755051073,,,,,,,,,0.017045599074238152,0.03301610771965656,0.029458436303649783,0.04800567996274532,,,,,,,,,,,,,,,0.0356069691135817,,,,,,-0.018899270314854524,,,,0.03664498352219421,,,,,,,0.022886488299094773,,0.02390436055067562,,,,,,,,,,,,,,,,,,,,,-0.02486647102553511,,,,,0.015441802054697123,,,,,
2018-01-05,,,0.013750168879968905,,,,,,,,,,0.024276479845539194,,0.018119534755051073,,,,,,,,,0.017045599074238152,0.03301610771965656,0.029458436303649783,0.04800567996274532,,,,,,,,,,,,,,,0.0356069691135817,,,,,,-0.018899270314854524,,,,0.03664498352219421,,,,,,,0.022886488299094773,,0.02390436055067562,,,,,,,,,,,,,,,,,,,,,-0.02486647102553511,,,,,0.015441802054697123,,,,,
2018-01-08,,,0.013750168879968905,,,,,,,,,,0.024276479845539194,,0.018119534755051073,,,,,,,,,0.017045599074238152,0.03301610771965656,0.029458436303649783,0.04800567996274532,,,,,,,,,,,,,,,0.0356069691135817,,,,,,-0.018899270314854524,,,,0.03664498352219421,,,,,,,0.022886488299094773,,0.02390436055067562,,,,,,,,,,,,,,,,,,,,,-0.02486647102553511,,,,,0.015441802054697123,,,,,
2018-01-09,,,0.013750168879968905,,,,,,,,,,0.024276479845539194,,0.018119534755051073,,,,,,,,,0.017045599074238152,0.03301610771965656,0.029458436303649783,0.04800567996274532,,,,,,,,,,,,,,,0.0356069691135817,,,,,,-0.018899270314854524,,,,0.03664498352219421,,,,,,,0.022886488299094773,,0.02390436055067562,,,,,,,,,,,,,,,,,,,,,-0.02486647102553511,,,,,0.015441802054697123,,,,,
