Date,ABBV,ADBE,ADS,ADSK,AES,AMZN,BA,BBY,BXP,CBOE,CCI,CCL,CHTR,CL,CME,COTY,CRM,CTSH,EA,EL,EQIX,EQT,ES,ETN,ETR,EVHC,EW,EXC,FE,FIS,FLR,FLS,FRT,GILD,GWW,HPE,HRS,HUM,IBM,IDXX,ILMN,IPG,ISRG,MAT,MGM,MLM,MON,MRK,MSI,MTB,MU,NDAQ,NFLX,NI,NKTR,NLSN,NOV,NVDA,PCG,PM,PNR,PVH,PX,QCOM,QRVO,RE,RHT,RL,RSG,RTN,SBAC,SBUX,SLG,SO,SPG,SRCL,SRE,STT,STX,TAP,TPR,TRIP,TWX,UAL,UPS,VFC,VMC,WDC,WU,WYNN,XYL
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,,,0.049999999991805086,,,,0.04999999999456983,,0.049999999992023626,,,,,,,,,,,0.04999999979175513,0.04999999999402845,0.049999999996695674,0.04999999999513107,0.049999999998342905,,,,,,,0.049999999957733195,,,,,,,,0.049999999997307545,,,,,0.04999999999823484,,,,,,,,0.049999999993547845,,,0.04999999999266795,,,0.04999999996527501,,,,,0.013992523307531377,,,,0.028181908973357858,,0.04999999997647395,,0.049999999966005126,,0.0499999999779855,,,,,,,,,,0.049999999986113194,,0.04999999999633205,,,,
2018-01-04,,,,,0.049999999991805086,,,,0.04999999999456983,,0.049999999992023626,,,,,,,,,,,0.04999999979175513,0.04999999999402845,0.049999999996695674,0.04999999999513107,0.049999999998342905,,,,,,,0.049999999957733195,,,,,,,,0.049999999997307545,,,,,0.04999999999823484,,,,,,,,0.049999999993547845,,,0.04999999999266795,,,0.04999999996527501,,,,,0.013992523307531377,,,,0.028181908973357858,,0.04999999997647395,,0.049999999966005126,,0.0499999999779855,,,,,,,,,,0.049999999986113194,,0.04999999999633205,,,,
2018-01-05,,,,,0.049999999991805086,,,,0.04999999999456983,,0.049999999992023626,,,,,,,,,,,0.04999999979175513,0.04999999999402845,0.049999999996695674,0.04999999999513107,0.049999999998342905,,,,,,,0.049999999957733195,,,,,,,,0.049999999997307545,,,,,0.04999999999823484,,,,,,,,0.049999999993547845,,,0.04999999999266795,,,0.04999999996527501,,,,,0.013992523307531377,,,,0.028181908973357858,,0.04999999997647395,,0.049999999966005126,,0.0499999999779855,,,,,,,,,,0.049999999986113194,,0.04999999999633205,,,,
2018-01-08,,,,,0.049999999991805086,,,,0.04999999999456983,,0.049999999992023626,,,,,,,,,,,0.04999999979175513,0.04999999999402845,0.049999999996695674,0.04999999999513107,0.049999999998342905,,,,,,,0.049999999957733195,,,,,,,,0.049999999997307545,,,,,0.04999999999823484,,,,,,,,0.049999999993547845,,,0.04999999999266795,,,0.04999999996527501,,,,,0.013992523307531377,,,,0.028181908973357858,,0.04999999997647395,,0.049999999966005126,,0.0499999999779855,,,,,,,,,,0.049999999986113194,,0.04999999999633205,,,,
2018-01-09,,,,,0.049999999991805086,,,,0.04999999999456983,,0.049999999992023626,,,,,,,,,,,0.04999999979175513,0.04999999999402845,0.049999999996695674,0.04999999999513107,0.049999999998342905,,,,,,,0.049999999957733195,,,,,,,,0.049999999997307545,,,,,0.04999999999823484,,,,,,,,0.049999999993547845,,,0.04999999999266795,,,0.04999999996527501,,,,,0.013992523307531377,,,,0.028181908973357858,,0.04999999997647395,,0.049999999966005126,,0.0499999999779855,,,,,,,,,,0.049999999986113194,,0.04999999999633205,,,,
