Date,AAP,ADSK,AIZ,ALB,ALGN,ALK,ALL,AMD,AMZN,ANDV,APA,ATVI,AWK,AYI,BA,BHF,BHGE,CBOE,CBS,CELG,CF,CI,CLX,COG,CPB,DISCA,DLTR,DUK,DVN,EA,EQT,EVHC,F,FCX,FLR,FMC,GE,GIS,GPS,GT,GWW,HCP,HII,HOLX,HPE,HRL,HSY,IDXX,ILMN,INCY,IPG,IPGP,ISRG,KHC,KIM,KMB,LB,LOW,M,MAT,MO,MU,NFLX,NFX,NKTR,NVDA,PFG,PSA,QRVO,RE,REGN,RHT,RMD,RRC,SCG,SEE,SLB,SO,STX,TGT,TRIP,TSCO,TTWO,TXN,UA,UAL,UPS,VIAB,VMC,VTR,WDC,WU,WYNN,XEC,XRAY
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,,,,,,,,,,,,,,-0.04999999999435686,,,,,,,-0.04999999991571528,,,-0.049999999998706475,,,,,0.04999999999962026,0.038534346827678236,,0.0499999999989578,,,,,-0.04999999999816898,,,,-0.04999999999827454,,,,,,0.049999999999131434,,,0.049999999995874615,,,,,-0.04999999999984954,,-0.04999999999966293,,,,0.049999999999819425,,-0.04999999999658028,,,,,,,,,0.021105642158839547,0.0403600109544422,,,,,,,,0.049999999998302104,,-0.04999999999347678,,0.049999999995150875,-0.04999999999799063,0.049999999967714856,,,,,,
2018-01-04,,,,,,,,,,,,,,,,-0.04999999999435686,,,,,,,-0.04999999991571528,,,-0.049999999998706475,,,,,0.04999999999962026,0.038534346827678236,,0.0499999999989578,,,,,-0.04999999999816898,,,,-0.04999999999827454,,,,,,0.049999999999131434,,,0.049999999995874615,,,,,-0.04999999999984954,,-0.04999999999966293,,,,0.049999999999819425,,-0.04999999999658028,,,,,,,,,0.021105642158839547,0.0403600109544422,,,,,,,,0.049999999998302104,,-0.04999999999347678,,0.049999999995150875,-0.04999999999799063,0.049999999967714856,,,,,,
2018-01-05,,,,,,,,,,,,,,,,-0.04999999999435686,,,,,,,-0.04999999991571528,,,-0.049999999998706475,,,,,0.04999999999962026,0.038534346827678236,,0.0499999999989578,,,,,-0.04999999999816898,,,,-0.04999999999827454,,,,,,0.049999999999131434,,,0.049999999995874615,,,,,-0.04999999999984954,,-0.04999999999966293,,,,0.049999999999819425,,-0.04999999999658028,,,,,,,,,0.021105642158839547,0.0403600109544422,,,,,,,,0.049999999998302104,,-0.04999999999347678,,0.049999999995150875,-0.04999999999799063,0.049999999967714856,,,,,,
2018-01-08,,,,,,,,,,,,,,,,-0.04999999999435686,,,,,,,-0.04999999991571528,,,-0.049999999998706475,,,,,0.04999999999962026,0.038534346827678236,,0.0499999999989578,,,,,-0.04999999999816898,,,,-0.04999999999827454,,,,,,0.049999999999131434,,,0.049999999995874615,,,,,-0.04999999999984954,,-0.04999999999966293,,,,0.049999999999819425,,-0.04999999999658028,,,,,,,,,0.021105642158839547,0.0403600109544422,,,,,,,,0.049999999998302104,,-0.04999999999347678,,0.049999999995150875,-0.04999999999799063,0.049999999967714856,,,,,,
2018-01-09,,,,,,,,,,,,,,,,-0.04999999999435686,,,,,,,-0.04999999991571528,,,-0.049999999998706475,,,,,0.04999999999962026,0.038534346827678236,,0.0499999999989578,,,,,-0.04999999999816898,,,,-0.04999999999827454,,,,,,0.049999999999131434,,,0.049999999995874615,,,,,-0.04999999999984954,,-0.04999999999966293,,,,0.049999999999819425,,-0.04999999999658028,,,,,,,,,0.021105642158839547,0.0403600109544422,,,,,,,,0.049999999998302104,,-0.04999999999347678,,0.049999999995150875,-0.04999999999799063,0.049999999967714856,,,,,,
