Date,AAP,ADSK,AIZ,ALB,ALGN,ALK,ALL,AMD,AMZN,ANDV,APA,ATVI,AWK,AYI,BA,BHF,BHGE,CBOE,CBS,CELG,CF,CI,CLX,COG,CPB,DISCA,DLTR,DUK,DVN,EA,EQT,EVHC,F,FCX,FLR,FMC,GE,GIS,GPS,GT,GWW,HCP,HII,HOLX,HPE,HRL,HSY,IDXX,ILMN,INCY,IPG,IPGP,ISRG,KHC,KIM,KMB,LB,LOW,M,MAT,MO,MU,NFLX,NFX,NKTR,NVDA,PFG,PSA,QRVO,RE,REGN,RHT,RMD,RRC,SCG,SEE,SLB,SO,STX,TGT,TRIP,TSCO,TTWO,TXN,UA,UAL,UPS,VIAB,VMC,VTR,WDC,WU,WYNN,XEC,XRAY
2018-01-10,,,,,,,,,,,,,,,,,,,-0.04999999999662742,,,,,,-0.019651463717327466,,,,,0.04999999996958781,,,,,,,,,-0.04999999999952308,,,,,,,,-0.04999999999490686,,0.04999999999936319,,,0.04999999999976608,0.04999999999976897,,,-0.049999999979369256,-0.049999999999941876,,-0.0499999999950365,,,,0.04999999999979522,,0.022581338150380426,,,-0.030348536178880777,,,-0.04999999999896154,,,,,,0.04192159671629824,,0.01191895415103594,,,,0.02055298453216061,,-0.04999999999899271,0.04999999999901077,0.04999999998937298,-0.049999999999638264,,,,0.0499999999995655,,,
2018-01-11,,,,,,,,,,,,,,,,,,,-0.04999999999662742,,,,,,-0.019651463717327466,,,,,0.04999999996958781,,,,,,,,,-0.04999999999952308,,,,,,,,-0.04999999999490686,,0.04999999999936319,,,0.04999999999976608,0.04999999999976897,,,-0.049999999979369256,-0.049999999999941876,,-0.0499999999950365,,,,0.04999999999979522,,0.022581338150380426,,,-0.030348536178880777,,,-0.04999999999896154,,,,,,0.04192159671629824,,0.01191895415103594,,,,0.02055298453216061,,-0.04999999999899271,0.04999999999901077,0.04999999998937298,-0.049999999999638264,,,,0.0499999999995655,,,
2018-01-12,,,,,,,,,,,,,,,,,,,-0.04999999999662742,,,,,,-0.019651463717327466,,,,,0.04999999996958781,,,,,,,,,-0.04999999999952308,,,,,,,,-0.04999999999490686,,0.04999999999936319,,,0.04999999999976608,0.04999999999976897,,,-0.049999999979369256,-0.049999999999941876,,-0.0499999999950365,,,,0.04999999999979522,,0.022581338150380426,,,-0.030348536178880777,,,-0.04999999999896154,,,,,,0.04192159671629824,,0.01191895415103594,,,,0.02055298453216061,,-0.04999999999899271,0.04999999999901077,0.04999999998937298,-0.049999999999638264,,,,0.0499999999995655,,,
2018-01-16,,,,,,,,,,,,,,,,,,,-0.04999999999662742,,,,,,-0.019651463717327466,,,,,0.04999999996958781,,,,,,,,,-0.04999999999952308,,,,,,,,-0.04999999999490686,,0.04999999999936319,,,0.04999999999976608,0.04999999999976897,,,-0.049999999979369256,-0.049999999999941876,,-0.0499999999950365,,,,0.04999999999979522,,0.022581338150380426,,,-0.030348536178880777,,,-0.04999999999896154,,,,,,0.04192159671629824,,0.01191895415103594,,,,0.02055298453216061,,-0.04999999999899271,0.04999999999901077,0.04999999998937298,-0.049999999999638264,,,,0.0499999999995655,,,
2018-01-17,,,,,0.04999999999939981,,,0.011946151513844533,,,,,-0.04999999999598702,,0.04999999999944208,,,,,-0.049999999998311374,-0.031612689432638216,,,,,,,,,,,,,,,,,,-0.017559178018420135,,,-0.04999999999813205,,,,-0.038301450118862906,-0.04999999999697994,,0.026569964579103725,-0.012526682706235559,,0.04999999999961553,0.049999999998412696,,,,-0.04999999999993249,,-0.04999999999831937,,,,0.04999999999956901,,,,,,,,,,,,,,,-0.04999999955282666,0.04999999999932477,0.04999999999636955,,,,0.044715177491653296,-0.04999999999981468,0.04999999999288947,,,,,,,,,
2018-01-18,,,,,0.04999999999939981,,,0.011946151513844533,,,,,-0.04999999999598702,,0.04999999999944208,,,,,-0.049999999998311374,-0.031612689432638216,,,,,,,,,,,,,,,,,,-0.017559178018420135,,,-0.04999999999813205,,,,-0.038301450118862906,-0.04999999999697994,,0.026569964579103725,-0.012526682706235559,,0.04999999999961553,0.049999999998412696,,,,-0.04999999999993249,,-0.04999999999831937,,,,0.04999999999956901,,,,,,,,,,,,,,,-0.04999999955282666,0.04999999999932477,0.04999999999636955,,,,0.044715177491653296,-0.04999999999981468,0.04999999999288947,,,,,,,,,
2018-01-19,,,,,0.04999999999939981,,,0.011946151513844533,,,,,-0.04999999999598702,,0.04999999999944208,,,,,-0.049999999998311374,-0.031612689432638216,,,,,,,,,,,,,,,,,,-0.017559178018420135,,,-0.04999999999813205,,,,-0.038301450118862906,-0.04999999999697994,,0.026569964579103725,-0.012526682706235559,,0.04999999999961553,0.049999999998412696,,,,-0.04999999999993249,,-0.04999999999831937,,,,0.04999999999956901,,,,,,,,,,,,,,,-0.04999999955282666,0.04999999999932477,0.04999999999636955,,,,0.044715177491653296,-0.04999999999981468,0.04999999999288947,,,,,,,,,
2018-01-22,,,,,0.04999999999939981,,,0.011946151513844533,,,,,-0.04999999999598702,,0.04999999999944208,,,,,-0.049999999998311374,-0.031612689432638216,,,,,,,,,,,,,,,,,,-0.017559178018420135,,,-0.04999999999813205,,,,-0.038301450118862906,-0.04999999999697994,,0.026569964579103725,-0.012526682706235559,,0.04999999999961553,0.049999999998412696,,,,-0.04999999999993249,,-0.04999999999831937,,,,0.04999999999956901,,,,,,,,,,,,,,,-0.04999999955282666,0.04999999999932477,0.04999999999636955,,,,0.044715177491653296,-0.04999999999981468,0.04999999999288947,,,,,,,,,
2018-01-23,,,,,0.04999999999939981,,,0.011946151513844533,,,,,-0.04999999999598702,,0.04999999999944208,,,,,-0.049999999998311374,-0.031612689432638216,,,,,,,,,,,,,,,,,,-0.017559178018420135,,,-0.04999999999813205,,,,-0.038301450118862906,-0.04999999999697994,,0.026569964579103725,-0.012526682706235559,,0.04999999999961553,0.049999999998412696,,,,-0.04999999999993249,,-0.04999999999831937,,,,0.04999999999956901,,,,,,,,,,,,,,,-0.04999999955282666,0.04999999999932477,0.04999999999636955,,,,0.044715177491653296,-0.04999999999981468,0.04999999999288947,,,,,,,,,
2018-01-24,0.027344850638272106,,-0.011420671870389365,-0.04999999999983661,0.04999999999845937,-0.04999999999988139,,0.021638055523920546,,,,,,,,,,,,-0.04898351975620745,,,-0.049999999987496706,,,,,-0.04999999999918553,,,,,,,0.049999999997803836,,,,,,0.0109990383262067,,,,,-0.04999999999913765,,,,,,0.04999999999955554,0.04999999999917405,,-0.026260892116737124,,-0.04999999999976535,0.04999999999876299,,,,,0.04999999999996872,,0.020595651261152186,,,,,,,,0.019422404190236508,,,,,-0.0499999999996995,0.04999999999981563,,,,,,-0.012073974746544194,,,,,,,,0.0499999999986375,,-0.04179838985985506
2018-01-25,0.027344850638272106,,-0.011420671870389365,-0.04999999999983661,0.04999999999845937,-0.04999999999988139,,0.021638055523920546,,,,,,,,,,,,-0.04898351975620745,,,-0.049999999987496706,,,,,-0.04999999999918553,,,,,,,0.049999999997803836,,,,,,0.0109990383262067,,,,,-0.04999999999913765,,,,,,0.04999999999955554,0.04999999999917405,,-0.026260892116737124,,-0.04999999999976535,0.04999999999876299,,,,,0.04999999999996872,,0.020595651261152186,,,,,,,,0.019422404190236508,,,,,-0.0499999999996995,0.04999999999981563,,,,,,-0.012073974746544194,,,,,,,,0.0499999999986375,,-0.04179838985985506
2018-01-26,0.027344850638272106,,-0.011420671870389365,-0.04999999999983661,0.04999999999845937,-0.04999999999988139,,0.021638055523920546,,,,,,,,,,,,-0.04898351975620745,,,-0.049999999987496706,,,,,-0.04999999999918553,,,,,,,0.049999999997803836,,,,,,0.0109990383262067,,,,,-0.04999999999913765,,,,,,0.04999999999955554,0.04999999999917405,,-0.026260892116737124,,-0.04999999999976535,0.04999999999876299,,,,,0.04999999999996872,,0.020595651261152186,,,,,,,,0.019422404190236508,,,,,-0.0499999999996995,0.04999999999981563,,,,,,-0.012073974746544194,,,,,,,,0.0499999999986375,,-0.04179838985985506
2018-01-29,0.027344850638272106,,-0.011420671870389365,-0.04999999999983661,0.04999999999845937,-0.04999999999988139,,0.021638055523920546,,,,,,,,,,,,-0.04898351975620745,,,-0.049999999987496706,,,,,-0.04999999999918553,,,,,,,0.049999999997803836,,,,,,0.0109990383262067,,,,,-0.04999999999913765,,,,,,0.04999999999955554,0.04999999999917405,,-0.026260892116737124,,-0.04999999999976535,0.04999999999876299,,,,,0.04999999999996872,,0.020595651261152186,,,,,,,,0.019422404190236508,,,,,-0.0499999999996995,0.04999999999981563,,,,,,-0.012073974746544194,,,,,,,,0.0499999999986375,,-0.04179838985985506
2018-01-30,0.027344850638272106,,-0.011420671870389365,-0.04999999999983661,0.04999999999845937,-0.04999999999988139,,0.021638055523920546,,,,,,,,,,,,-0.04898351975620745,,,-0.049999999987496706,,,,,-0.04999999999918553,,,,,,,0.049999999997803836,,,,,,0.0109990383262067,,,,,-0.04999999999913765,,,,,,0.04999999999955554,0.04999999999917405,,-0.026260892116737124,,-0.04999999999976535,0.04999999999876299,,,,,0.04999999999996872,,0.020595651261152186,,,,,,,,0.019422404190236508,,,,,-0.0499999999996995,0.04999999999981563,,,,,,-0.012073974746544194,,,,,,,,0.0499999999986375,,-0.04179838985985506
2018-01-31,,,-0.04999999999984527,-0.0499999999999124,,-0.0499999999998285,,0.049999999999944825,0.049999999999771595,,,0.04441638160005933,,,,,,,,-0.04999999999717821,,,-0.017830802113274855,,,,,,,0.04999999999975657,,,-0.049999999999322406,,,,,,,,0.027125046818823915,,,,,-0.030321334309537415,,0.04999999999895655,,,,,,,-0.04999999999950256,,-0.04999999999992343,,,,,,0.04999999999998788,,0.0499999999997581,0.04999999999949262,-0.041269172814686665,,,,,,,-0.03707076511117888,,,,,0.049999999999969943,,,,,,-0.02140367740771844,,,,,,,,,,
2018-02-01,,,-0.04999999999984527,-0.0499999999999124,,-0.0499999999998285,,0.049999999999944825,0.049999999999771595,,,0.04441638160005933,,,,,,,,-0.04999999999717821,,,-0.017830802113274855,,,,,,,0.04999999999975657,,,-0.049999999999322406,,,,,,,,0.027125046818823915,,,,,-0.030321334309537415,,0.04999999999895655,,,,,,,-0.04999999999950256,,-0.04999999999992343,,,,,,0.04999999999998788,,0.0499999999997581,0.04999999999949262,-0.041269172814686665,,,,,,,-0.03707076511117888,,,,,0.049999999999969943,,,,,,-0.02140367740771844,,,,,,,,,,
2018-02-02,,,-0.04999999999984527,-0.0499999999999124,,-0.0499999999998285,,0.049999999999944825,0.049999999999771595,,,0.04441638160005933,,,,,,,,-0.04999999999717821,,,-0.017830802113274855,,,,,,,0.04999999999975657,,,-0.049999999999322406,,,,,,,,0.027125046818823915,,,,,-0.030321334309537415,,0.04999999999895655,,,,,,,-0.04999999999950256,,-0.04999999999992343,,,,,,0.04999999999998788,,0.0499999999997581,0.04999999999949262,-0.041269172814686665,,,,,,,-0.03707076511117888,,,,,0.049999999999969943,,,,,,-0.02140367740771844,,,,,,,,,,
2018-02-05,,,-0.04999999999984527,-0.0499999999999124,,-0.0499999999998285,,0.049999999999944825,0.049999999999771595,,,0.04441638160005933,,,,,,,,-0.04999999999717821,,,-0.017830802113274855,,,,,,,0.04999999999975657,,,-0.049999999999322406,,,,,,,,0.027125046818823915,,,,,-0.030321334309537415,,0.04999999999895655,,,,,,,-0.04999999999950256,,-0.04999999999992343,,,,,,0.04999999999998788,,0.0499999999997581,0.04999999999949262,-0.041269172814686665,,,,,,,-0.03707076511117888,,,,,0.049999999999969943,,,,,,-0.02140367740771844,,,,,,,,,,
2018-02-06,,,-0.04999999999984527,-0.0499999999999124,,-0.0499999999998285,,0.049999999999944825,0.049999999999771595,,,0.04441638160005933,,,,,,,,-0.04999999999717821,,,-0.017830802113274855,,,,,,,0.04999999999975657,,,-0.049999999999322406,,,,,,,,0.027125046818823915,,,,,-0.030321334309537415,,0.04999999999895655,,,,,,,-0.04999999999950256,,-0.04999999999992343,,,,,,0.04999999999998788,,0.0499999999997581,0.04999999999949262,-0.041269172814686665,,,,,,,-0.03707076511117888,,,,,0.049999999999969943,,,,,,-0.02140367740771844,,,,,,,,,,
2018-02-07,,,-0.04999999999734058,-0.03659402333884937,,,,,0.04999999999912519,,,,,,,,,,,-0.04999999999446729,,,-0.04999999997821073,-0.046760456174759345,,,,,,0.04999999999908204,,,-0.0311691510045106,,,,-0.011927554842674494,,,,0.02599594468819799,,,,,,-0.014185431024149871,0.025866892341398877,,,,,,,-0.04999999999727712,,-0.04999999999897721,,,0.03126036411494667,,,0.049999999999879086,,0.034626976943194214,0.04142084888474007,-0.010134244841462496,,0.01913712287615305,0.049355711013093925,-0.030348249206275865,,,-0.04999999999582318,,,,,0.04999999999926919,,0.04999999999957516,,,,-0.011235109540027653,,,,,,,,,,
2018-02-08,,,-0.04999999999734058,-0.03659402333884937,,,,,0.04999999999912519,,,,,,,,,,,-0.04999999999446729,,,-0.04999999997821073,-0.046760456174759345,,,,,,0.04999999999908204,,,-0.0311691510045106,,,,-0.011927554842674494,,,,0.02599594468819799,,,,,,-0.014185431024149871,0.025866892341398877,,,,,,,-0.04999999999727712,,-0.04999999999897721,,,0.03126036411494667,,,0.049999999999879086,,0.034626976943194214,0.04142084888474007,-0.010134244841462496,,0.01913712287615305,0.049355711013093925,-0.030348249206275865,,,-0.04999999999582318,,,,,0.04999999999926919,,0.04999999999957516,,,,-0.011235109540027653,,,,,,,,,,
2018-02-09,,,-0.04999999999734058,-0.03659402333884937,,,,,0.04999999999912519,,,,,,,,,,,-0.04999999999446729,,,-0.04999999997821073,-0.046760456174759345,,,,,,0.04999999999908204,,,-0.0311691510045106,,,,-0.011927554842674494,,,,0.02599594468819799,,,,,,-0.014185431024149871,0.025866892341398877,,,,,,,-0.04999999999727712,,-0.04999999999897721,,,0.03126036411494667,,,0.049999999999879086,,0.034626976943194214,0.04142084888474007,-0.010134244841462496,,0.01913712287615305,0.049355711013093925,-0.030348249206275865,,,-0.04999999999582318,,,,,0.04999999999926919,,0.04999999999957516,,,,-0.011235109540027653,,,,,,,,,,
2018-02-12,,,-0.04999999999734058,-0.03659402333884937,,,,,0.04999999999912519,,,,,,,,,,,-0.04999999999446729,,,-0.04999999997821073,-0.046760456174759345,,,,,,0.04999999999908204,,,-0.0311691510045106,,,,-0.011927554842674494,,,,0.02599594468819799,,,,,,-0.014185431024149871,0.025866892341398877,,,,,,,-0.04999999999727712,,-0.04999999999897721,,,0.03126036411494667,,,0.049999999999879086,,0.034626976943194214,0.04142084888474007,-0.010134244841462496,,0.01913712287615305,0.049355711013093925,-0.030348249206275865,,,-0.04999999999582318,,,,,0.04999999999926919,,0.04999999999957516,,,,-0.011235109540027653,,,,,,,,,,
2018-02-13,,,-0.04999999999734058,-0.03659402333884937,,,,,0.04999999999912519,,,,,,,,,,,-0.04999999999446729,,,-0.04999999997821073,-0.046760456174759345,,,,,,0.04999999999908204,,,-0.0311691510045106,,,,-0.011927554842674494,,,,0.02599594468819799,,,,,,-0.014185431024149871,0.025866892341398877,,,,,,,-0.04999999999727712,,-0.04999999999897721,,,0.03126036411494667,,,0.049999999999879086,,0.034626976943194214,0.04142084888474007,-0.010134244841462496,,0.01913712287615305,0.049355711013093925,-0.030348249206275865,,,-0.04999999999582318,,,,,0.04999999999926919,,0.04999999999957516,,,,-0.011235109540027653,,,,,,,,,,
2018-02-14,,,,,,,,0.03944129527544093,0.04999999996244899,,,,,,,,-0.01858941117147015,,,-0.04999999999149548,,,,,,,,,-0.04464275623512244,0.04999999982931659,,,,,,,-0.04999999998876208,,,,0.024089218807786715,,,-0.04999999998063539,,,-0.04999999637961097,,,,0.045593033242908594,0.023856359610839383,,,-0.0499999999928087,,-0.04999999998100216,,,0.027062661102345325,,,0.04999999999925624,-0.04999999999330678,0.0499999999930271,0.016975763681654134,,,0.022981667769346098,,,,,-0.04999999992512251,,-0.03128998531011667,,,0.04999999999203739,,0.04999999999541365,,,,,,,,,,,,,,
2018-02-15,,,,,,,,0.03944129527544093,0.04999999996244899,,,,,,,,-0.01858941117147015,,,-0.04999999999149548,,,,,,,,,-0.04464275623512244,0.04999999982931659,,,,,,,-0.04999999998876208,,,,0.024089218807786715,,,-0.04999999998063539,,,-0.04999999637961097,,,,0.045593033242908594,0.023856359610839383,,,-0.0499999999928087,,-0.04999999998100216,,,0.027062661102345325,,,0.04999999999925624,-0.04999999999330678,0.0499999999930271,0.016975763681654134,,,0.022981667769346098,,,,,-0.04999999992512251,,-0.03128998531011667,,,0.04999999999203739,,0.04999999999541365,,,,,,,,,,,,,,
2018-02-16,,,,,,,,0.03944129527544093,0.04999999996244899,,,,,,,,-0.01858941117147015,,,-0.04999999999149548,,,,,,,,,-0.04464275623512244,0.04999999982931659,,,,,,,-0.04999999998876208,,,,0.024089218807786715,,,-0.04999999998063539,,,-0.04999999637961097,,,,0.045593033242908594,0.023856359610839383,,,-0.0499999999928087,,-0.04999999998100216,,,0.027062661102345325,,,0.04999999999925624,-0.04999999999330678,0.0499999999930271,0.016975763681654134,,,0.022981667769346098,,,,,-0.04999999992512251,,-0.03128998531011667,,,0.04999999999203739,,0.04999999999541365,,,,,,,,,,,,,,
2018-02-20,,,,,,,,0.03944129527544093,0.04999999996244899,,,,,,,,-0.01858941117147015,,,-0.04999999999149548,,,,,,,,,-0.04464275623512244,0.04999999982931659,,,,,,,-0.04999999998876208,,,,0.024089218807786715,,,-0.04999999998063539,,,-0.04999999637961097,,,,0.045593033242908594,0.023856359610839383,,,-0.0499999999928087,,-0.04999999998100216,,,0.027062661102345325,,,0.04999999999925624,-0.04999999999330678,0.0499999999930271,0.016975763681654134,,,0.022981667769346098,,,,,-0.04999999992512251,,-0.03128998531011667,,,0.04999999999203739,,0.04999999999541365,,,,,,,,,,,,,,
2018-02-21,,,-0.03747603347193715,,,,-0.017959208119916432,,0.033408186448756996,-0.04364157751193127,,,,,,,,-0.01334082759622341,,-0.049999999991222024,,,-0.01183100533744852,,,,,,-0.03429475186992604,0.0434200930849643,,,,,,-0.010360818707922484,-0.04999999998274389,,,-0.020187191312045598,0.015620630275349367,,,-0.02514823592535754,,,-0.021783146309203107,0.04861776131438603,,,0.04700665712824603,,,,,,-0.04999999999678418,,,0.02146619978067237,,,0.04999999999908362,-0.04932416890245534,0.045175262142806684,0.04808576128130353,,,0.020653332111246224,,,0.026546115483528088,,-0.04383508176329251,,-0.020817952235366262,,,0.04999999998113937,,0.04999999999532801,,,,,,,,,,,,,,
2018-02-22,,,-0.03747603347193715,,,,-0.017959208119916432,,0.033408186448756996,-0.04364157751193127,,,,,,,,-0.01334082759622341,,-0.049999999991222024,,,-0.01183100533744852,,,,,,-0.03429475186992604,0.0434200930849643,,,,,,-0.010360818707922484,-0.04999999998274389,,,-0.020187191312045598,0.015620630275349367,,,-0.02514823592535754,,,-0.021783146309203107,0.04861776131438603,,,0.04700665712824603,,,,,,-0.04999999999678418,,,0.02146619978067237,,,0.04999999999908362,-0.04932416890245534,0.045175262142806684,0.04808576128130353,,,0.020653332111246224,,,0.026546115483528088,,-0.04383508176329251,,-0.020817952235366262,,,0.04999999998113937,,0.04999999999532801,,,,,,,,,,,,,,
2018-02-23,,,-0.03747603347193715,,,,-0.017959208119916432,,0.033408186448756996,-0.04364157751193127,,,,,,,,-0.01334082759622341,,-0.049999999991222024,,,-0.01183100533744852,,,,,,-0.03429475186992604,0.0434200930849643,,,,,,-0.010360818707922484,-0.04999999998274389,,,-0.020187191312045598,0.015620630275349367,,,-0.02514823592535754,,,-0.021783146309203107,0.04861776131438603,,,0.04700665712824603,,,,,,-0.04999999999678418,,,0.02146619978067237,,,0.04999999999908362,-0.04932416890245534,0.045175262142806684,0.04808576128130353,,,0.020653332111246224,,,0.026546115483528088,,-0.04383508176329251,,-0.020817952235366262,,,0.04999999998113937,,0.04999999999532801,,,,,,,,,,,,,,
2018-02-26,,,-0.03747603347193715,,,,-0.017959208119916432,,0.033408186448756996,-0.04364157751193127,,,,,,,,-0.01334082759622341,,-0.049999999991222024,,,-0.01183100533744852,,,,,,-0.03429475186992604,0.0434200930849643,,,,,,-0.010360818707922484,-0.04999999998274389,,,-0.020187191312045598,0.015620630275349367,,,-0.02514823592535754,,,-0.021783146309203107,0.04861776131438603,,,0.04700665712824603,,,,,,-0.04999999999678418,,,0.02146619978067237,,,0.04999999999908362,-0.04932416890245534,0.045175262142806684,0.04808576128130353,,,0.020653332111246224,,,0.026546115483528088,,-0.04383508176329251,,-0.020817952235366262,,,0.04999999998113937,,0.04999999999532801,,,,,,,,,,,,,,
2018-02-27,,,-0.03747603347193715,,,,-0.017959208119916432,,0.033408186448756996,-0.04364157751193127,,,,,,,,-0.01334082759622341,,-0.049999999991222024,,,-0.01183100533744852,,,,,,-0.03429475186992604,0.0434200930849643,,,,,,-0.010360818707922484,-0.04999999998274389,,,-0.020187191312045598,0.015620630275349367,,,-0.02514823592535754,,,-0.021783146309203107,0.04861776131438603,,,0.04700665712824603,,,,,,-0.04999999999678418,,,0.02146619978067237,,,0.04999999999908362,-0.04932416890245534,0.045175262142806684,0.04808576128130353,,,0.020653332111246224,,,0.026546115483528088,,-0.04383508176329251,,-0.020817952235366262,,,0.04999999998113937,,0.04999999999532801,,,,,,,,,,,,,,
2018-02-28,,,,-0.04771711595537712,,,,,0.04999999999982006,-0.049999999999513496,-0.049999999974397226,,,,0.049999999999179486,,,,,-0.040337492401234396,,,,,,,,,-0.0499999999998501,,,,,,,,-0.01720714070889417,,,,,,,,0.04999999999982707,,,,,,,,,,,,-0.04999999999875086,,,,,0.014573806061786865,0.0499999999999659,-0.04999999999982895,0.04999999999994013,0.04999999999962516,,,0.049999999998370716,,,0.049999999999483874,,-0.04999999998986956,,,,,0.04999999999981516,,0.028416963915035384,,,,,,,,,-0.044738250937056016,,,,-0.04999999999891935,
2018-03-01,,,,-0.04771711595537712,,,,,0.04999999999982006,-0.049999999999513496,-0.049999999974397226,,,,0.049999999999179486,,,,,-0.040337492401234396,,,,,,,,,-0.0499999999998501,,,,,,,,-0.01720714070889417,,,,,,,,0.04999999999982707,,,,,,,,,,,,-0.04999999999875086,,,,,0.014573806061786865,0.0499999999999659,-0.04999999999982895,0.04999999999994013,0.04999999999962516,,,0.049999999998370716,,,0.049999999999483874,,-0.04999999998986956,,,,,0.04999999999981516,,0.028416963915035384,,,,,,,,,-0.044738250937056016,,,,-0.04999999999891935,
2018-03-02,,,,-0.04771711595537712,,,,,0.04999999999982006,-0.049999999999513496,-0.049999999974397226,,,,0.049999999999179486,,,,,-0.040337492401234396,,,,,,,,,-0.0499999999998501,,,,,,,,-0.01720714070889417,,,,,,,,0.04999999999982707,,,,,,,,,,,,-0.04999999999875086,,,,,0.014573806061786865,0.0499999999999659,-0.04999999999982895,0.04999999999994013,0.04999999999962516,,,0.049999999998370716,,,0.049999999999483874,,-0.04999999998986956,,,,,0.04999999999981516,,0.028416963915035384,,,,,,,,,-0.044738250937056016,,,,-0.04999999999891935,
