,date_,ticker,value,category,instrument_id,data_vendor_id
11952,2018-06-29,BAMLCC0A0CMTRIV,2818.58,Value,565,3
11953,2018-06-30,BAMLCC0A0CMTRIV,2818.89,Value,565,3
