,date_,ticker,value,category,instrument_id,data_vendor_id
8344,2018-06-29,BAMLHYH0A0HYM2TRIV,1262.93,Value,566,3
8345,2018-06-30,BAMLHYH0A0HYM2TRIV,1263.15,Value,566,3
