,ticker,date_,category,value,instrument_id,data_vendor_id
0,CI,2018-07-02,Open,169.470001,127,2
1,CI,2018-07-02,High,169.470001,127,2
2,CI,2018-07-02,Low,166.880005,127,2
3,CI,2018-07-02,Close,169.029999,127,2
4,CI,2018-07-02,Adj Close,169.029999,127,2
5,CI,2018-07-02,Volume,1396902.0,127,2
