,ticker,date_,category,value,instrument_id,data_vendor_id
0,IWM,2008-04-22,Open,71.25,56,2
1,IWM,2008-04-23,Open,70.529999,56,2
2,IWM,2008-04-24,Open,70.5,56,2
3,IWM,2008-04-25,Open,71.809998,56,2
4,IWM,2008-04-28,Open,71.93,56,2
5,IWM,2008-04-29,Open,72.209999,56,2
6,IWM,2008-04-30,Open,71.970001,56,2
7,IWM,2008-05-01,Open,71.459999,56,2
8,IWM,2008-05-02,Open,73.410004,56,2
9,IWM,2008-05-05,Open,72.32,56,2
10,IWM,2008-05-06,Open,71.860001,56,2
11,IWM,2008-05-07,Open,72.900002,56,2
12,IWM,2008-05-08,Open,71.720001,56,2
13,IWM,2008-05-09,Open,71.190002,56,2
14,IWM,2008-05-12,Open,71.949997,56,2
15,IWM,2008-05-13,Open,73.300003,56,2
16,IWM,2008-05-14,Open,73.650002,56,2
17,IWM,2008-05-15,Open,73.470001,56,2
18,IWM,2008-05-16,Open,74.459999,56,2
19,IWM,2008-05-19,Open,74.029999,56,2
20,IWM,2008-05-20,Open,73.440002,56,2
21,IWM,2008-05-21,Open,73.620003,56,2
22,IWM,2008-05-22,Open,72.790001,56,2
23,IWM,2008-05-23,Open,72.849998,56,2
24,IWM,2008-05-27,Open,72.379997,56,2
25,IWM,2008-05-28,Open,73.639999,56,2
26,IWM,2008-05-29,Open,73.510002,56,2
27,IWM,2008-05-30,Open,74.489998,56,2
28,IWM,2008-06-02,Open,74.57,56,2
29,IWM,2008-06-03,Open,74.25,56,2
30,IWM,2008-06-04,Open,73.58000200000001,56,2
31,IWM,2008-06-05,Open,74.43,56,2
32,IWM,2008-06-06,Open,75.75,56,2
33,IWM,2008-06-09,Open,74.120003,56,2
34,IWM,2008-06-10,Open,73.010002,56,2
35,IWM,2008-06-11,Open,73.050003,56,2
36,IWM,2008-06-12,Open,72.279999,56,2
37,IWM,2008-06-13,Open,72.660004,56,2
38,IWM,2008-06-16,Open,73.050003,56,2
39,IWM,2008-06-17,Open,74.18,56,2
40,IWM,2008-06-18,Open,73.290001,56,2
41,IWM,2008-06-19,Open,73.110001,56,2
42,IWM,2008-06-20,Open,73.449997,56,2
43,IWM,2008-06-23,Open,72.91999799999999,56,2
44,IWM,2008-06-24,Open,71.449997,56,2
45,IWM,2008-06-25,Open,70.959999,56,2
46,IWM,2008-06-26,Open,70.809998,56,2
47,IWM,2008-06-27,Open,69.709999,56,2
48,IWM,2008-06-30,Open,69.860001,56,2
49,IWM,2008-07-01,Open,68.239998,56,2
50,IWM,2008-07-02,Open,68.91999799999999,56,2
51,IWM,2008-07-03,Open,66.900002,56,2
52,IWM,2008-07-07,Open,66.730003,56,2
53,IWM,2008-07-08,Open,65.790001,56,2
54,IWM,2008-07-09,Open,68.099998,56,2
55,IWM,2008-07-10,Open,66.07,56,2
56,IWM,2008-07-11,Open,66.25,56,2
57,IWM,2008-07-14,Open,67.779999,56,2
58,IWM,2008-07-15,Open,65.550003,56,2
59,IWM,2008-07-16,Open,66.309998,56,2
60,IWM,2008-07-17,Open,68.720001,56,2
61,IWM,2008-07-18,Open,69.760002,56,2
62,IWM,2008-07-21,Open,69.370003,56,2
63,IWM,2008-07-22,Open,69.190002,56,2
64,IWM,2008-07-23,Open,71.379997,56,2
65,IWM,2008-07-24,Open,71.870003,56,2
66,IWM,2008-07-25,Open,70.690002,56,2
67,IWM,2008-07-28,Open,70.639999,56,2
68,IWM,2008-07-29,Open,69.68,56,2
69,IWM,2008-07-30,Open,71.589996,56,2
70,IWM,2008-07-31,Open,70.82,56,2
71,IWM,2008-08-01,Open,71.440002,56,2
72,IWM,2008-08-04,Open,71.43,56,2
73,IWM,2008-08-05,Open,70.989998,56,2
74,IWM,2008-08-06,Open,71.699997,56,2
75,IWM,2008-08-07,Open,71.720001,56,2
76,IWM,2008-08-08,Open,71.239998,56,2
77,IWM,2008-08-11,Open,73.269997,56,2
78,IWM,2008-08-12,Open,74.639999,56,2
79,IWM,2008-08-13,Open,74.25,56,2
80,IWM,2008-08-14,Open,74.16999799999999,56,2
81,IWM,2008-08-15,Open,75.739998,56,2
82,IWM,2008-08-18,Open,75.269997,56,2
83,IWM,2008-08-19,Open,73.629997,56,2
84,IWM,2008-08-20,Open,73.16999799999999,56,2
85,IWM,2008-08-21,Open,72.540001,56,2
86,IWM,2008-08-22,Open,72.75,56,2
87,IWM,2008-08-25,Open,73.220001,56,2
88,IWM,2008-08-26,Open,72.18,56,2
89,IWM,2008-08-27,Open,72.199997,56,2
90,IWM,2008-08-28,Open,73.370003,56,2
91,IWM,2008-08-29,Open,74.16999799999999,56,2
92,IWM,2008-09-02,Open,75.010002,56,2
93,IWM,2008-09-03,Open,73.650002,56,2
94,IWM,2008-09-04,Open,73.519997,56,2
95,IWM,2008-09-05,Open,71.540001,56,2
96,IWM,2008-09-08,Open,74.019997,56,2
97,IWM,2008-09-09,Open,73.239998,56,2
98,IWM,2008-09-10,Open,71.57,56,2
99,IWM,2008-09-11,Open,70.519997,56,2
100,IWM,2008-09-12,Open,71.32,56,2
101,IWM,2008-09-15,Open,70.150002,56,2
102,IWM,2008-09-16,Open,67.800003,56,2
103,IWM,2008-09-17,Open,69.949997,56,2
104,IWM,2008-09-18,Open,69.400002,56,2
105,IWM,2008-09-19,Open,78.91999799999999,56,2
